array,artifact,bytes_uncompressed,description,dtype,elements,maximum,minimum,nonfinite_count,shape
left,bases/block_00_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.5694891214370728,-0.7319705486297607,0,2560x64
right,bases/block_01_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.21901395916938782,-0.20375703275203705,0,6912x64
left,bases/block_01_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.13317860662937164,-0.10947952419519424,0,6912x64
singular_values,bases/block_01_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,78.24728393554688,6.314716339111328,0,64
right,bases/block_01_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9162936210632324,-0.17275436222553253,0,2560x64
left,bases/block_01_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1337670236825943,-0.1132015734910965,0,2560x64
singular_values,bases/block_01_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,16.476818084716797,4.222484111785889,0,64
right,bases/block_01_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.16281560063362122,-0.139835387468338,0,2560x64
left,bases/block_01_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10854016244411469,-0.1279463917016983,0,2560x64
singular_values,bases/block_01_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.403599739074707,5.55677604675293,0,64
right,bases/block_01_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13654233515262604,-0.1481083631515503,0,2560x64
left,bases/block_01_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12486860901117325,-0.10371246188879013,0,2560x64
singular_values,bases/block_01_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,17.76857566833496,4.023167133331299,0,64
right,bases/block_01_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12390196323394775,-0.174393430352211,0,2560x64
left,bases/block_01_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11865521222352982,-0.12509208917617798,0,2560x64
singular_values,bases/block_01_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.826062202453613,4.531487941741943,0,64
right,bases/block_01_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1171652302145958,-0.11942850053310394,0,2560x64
left,bases/block_01_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.12643587589263916,-0.10959287732839584,0,6912x64
singular_values,bases/block_01_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.860294342041016,6.166867733001709,0,64
right,bases/block_01_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1922001987695694,-0.11987663805484772,0,2560x64
left,bases/block_02_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.38501107692718506,-0.556563138961792,0,2560x64
singular_values,bases/block_02_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.506007194519043,5.166943073272705,0,64
right,bases/block_02_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.18181198835372925,-0.18639561533927917,0,6912x64
left,bases/block_02_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.11292988806962967,-0.19338536262512207,0,6912x64
singular_values,bases/block_02_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,60.8067741394043,5.768888473510742,0,64
right,bases/block_02_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9542978405952454,-0.17163774371147156,0,2560x64
left,bases/block_02_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11496403813362122,-0.10335053503513336,0,2560x64
singular_values,bases/block_02_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,14.859708786010742,4.99844217300415,0,64
right,bases/block_02_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13715356588363647,-0.12701262533664703,0,2560x64
left,bases/block_02_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11105070263147354,-0.15123891830444336,0,2560x64
singular_values,bases/block_02_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.400877952575684,5.43359375,0,64
right,bases/block_02_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13673599064350128,-0.13463246822357178,0,2560x64
left,bases/block_02_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1228635385632515,-0.11412424594163895,0,2560x64
singular_values,bases/block_02_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,17.169017791748047,4.786332130432129,0,64
right,bases/block_02_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.21933698654174805,-0.17432768642902374,0,2560x64
left,bases/block_02_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11020717769861221,-0.11033234745264053,0,2560x64
singular_values,bases/block_02_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.877725601196289,4.719845294952393,0,64
right,bases/block_02_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11345990747213364,-0.10724902153015137,0,2560x64
left,bases/block_02_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.10207117348909378,-0.11247771978378296,0,6912x64
singular_values,bases/block_02_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.107829093933105,5.65731954574585,0,64
right,bases/block_02_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12078200280666351,-0.11798005551099777,0,2560x64
left,bases/block_03_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.2057332545518875,-0.33483782410621643,0,2560x64
singular_values,bases/block_03_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.814175605773926,5.031754016876221,0,64
right,bases/block_03_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.16772665083408356,-0.12104564905166626,0,6912x64
left,bases/block_03_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.15324750542640686,-0.1360330432653427,0,6912x64
singular_values,bases/block_03_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,58.325218200683594,4.913446426391602,0,64
right,bases/block_03_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9527713656425476,-0.12872615456581116,0,2560x64
left,bases/block_03_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10417289286851883,-0.11653764545917511,0,2560x64
singular_values,bases/block_03_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,13.260687828063965,4.477913856506348,0,64
right,bases/block_03_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13745033740997314,-0.16656573116779327,0,2560x64
left,bases/block_03_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1348646581172943,-0.13097313046455383,0,2560x64
singular_values,bases/block_03_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.98081111907959,5.378523349761963,0,64
right,bases/block_03_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1531178504228592,-0.15262939035892487,0,2560x64
left,bases/block_03_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10181574523448944,-0.09997034817934036,0,2560x64
singular_values,bases/block_03_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,15.710394859313965,4.186793327331543,0,64
right,bases/block_03_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.28496429324150085,-0.17613117396831512,0,2560x64
left,bases/block_03_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10857640206813812,-0.114800363779068,0,2560x64
singular_values,bases/block_03_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.582392692565918,3.9378960132598877,0,64
right,bases/block_03_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.16130024194717407,-0.12487141042947769,0,2560x64
left,bases/block_03_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.13724233210086823,-0.1356053352355957,0,6912x64
singular_values,bases/block_03_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,7.482774257659912,4.835213661193848,0,64
right,bases/block_03_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1347854733467102,-0.13623161613941193,0,2560x64
left,bases/block_04_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.3736283481121063,-0.5869569778442383,0,2560x64
singular_values,bases/block_04_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.236095428466797,4.065384387969971,0,64
right,bases/block_04_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.1958112269639969,-0.1714327335357666,0,6912x64
left,bases/block_04_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.31316235661506653,-0.1725776195526123,0,6912x64
singular_values,bases/block_04_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,71.2281265258789,4.378239154815674,0,64
right,bases/block_04_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9677442312240601,-0.12212961912155151,0,2560x64
left,bases/block_04_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1186806783080101,-0.11374985426664352,0,2560x64
singular_values,bases/block_04_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,13.465423583984375,4.218102931976318,0,64
right,bases/block_04_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.14138098061084747,-0.15613146126270294,0,2560x64
left,bases/block_04_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13953141868114471,-0.14197976887226105,0,2560x64
singular_values,bases/block_04_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.942739486694336,5.393640995025635,0,64
right,bases/block_04_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.15363743901252747,-0.1560056358575821,0,2560x64
left,bases/block_04_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12282657623291016,-0.1282801479101181,0,2560x64
singular_values,bases/block_04_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,16.509634017944336,4.082406997680664,0,64
right,bases/block_04_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.16373929381370544,-0.30596113204956055,0,2560x64
left,bases/block_04_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12033454328775406,-0.11991769820451736,0,2560x64
singular_values,bases/block_04_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.397520065307617,4.000769138336182,0,64
right,bases/block_04_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12526516616344452,-0.13212090730667114,0,2560x64
left,bases/block_04_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.13960334658622742,-0.1576204150915146,0,6912x64
singular_values,bases/block_04_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,6.2895121574401855,4.27239990234375,0,64
right,bases/block_04_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12467657774686813,-0.11229664087295532,0,2560x64
left,bases/block_05_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.36349281668663025,-0.20438101887702942,0,2560x64
singular_values,bases/block_05_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,7.722590923309326,3.6735236644744873,0,64
right,bases/block_05_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.16565853357315063,-0.1655929833650589,0,6912x64
left,bases/block_05_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.26879405975341797,-0.2538169324398041,0,6912x64
singular_values,bases/block_05_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,57.331539154052734,3.0262458324432373,0,64
right,bases/block_05_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9577014446258545,-0.1834372729063034,0,2560x64
left,bases/block_05_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11957776546478271,-0.12076354771852493,0,2560x64
singular_values,bases/block_05_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,12.37857437133789,4.282245635986328,0,64
right,bases/block_05_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12987197935581207,-0.13243627548217773,0,2560x64
left,bases/block_05_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.22323113679885864,-0.12239687144756317,0,2560x64
singular_values,bases/block_05_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.76408863067627,5.3339924812316895,0,64
right,bases/block_05_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12527304887771606,-0.16700510680675507,0,2560x64
left,bases/block_05_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10609379410743713,-0.11005789786577225,0,2560x64
singular_values,bases/block_05_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,18.746292114257812,4.003264904022217,0,64
right,bases/block_05_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.26514267921447754,-0.15377017855644226,0,2560x64
left,bases/block_05_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1281733214855194,-0.1089111790060997,0,2560x64
singular_values,bases/block_05_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.584991455078125,4.108524322509766,0,64
right,bases/block_05_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12748490273952484,-0.157947838306427,0,2560x64
left,bases/block_05_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.20722180604934692,-0.20719990134239197,0,6912x64
singular_values,bases/block_05_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,4.7814717292785645,2.85380220413208,0,64
right,bases/block_05_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.15886731445789337,-0.15507185459136963,0,2560x64
left,bases/block_06_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.24078641831874847,-0.3884250223636627,0,2560x64
singular_values,bases/block_06_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,6.6700758934021,3.7901382446289062,0,64
right,bases/block_06_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.19356845319271088,-0.17603646218776703,0,6912x64
left,bases/block_06_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.17448770999908447,-0.20340381562709808,0,6912x64
singular_values,bases/block_06_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,66.47852325439453,3.1209800243377686,0,64
right,bases/block_06_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.20462769269943237,-0.9448161721229553,0,2560x64
left,bases/block_06_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12032816559076309,-0.11882887035608292,0,2560x64
singular_values,bases/block_06_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,13.550664901733398,4.254942417144775,0,64
right,bases/block_06_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.16137158870697021,-0.16582699120044708,0,2560x64
left,bases/block_06_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.21076197922229767,-0.1951136440038681,0,2560x64
singular_values,bases/block_06_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.977645874023438,5.545505523681641,0,64
right,bases/block_06_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1558079868555069,-0.1561412811279297,0,2560x64
left,bases/block_06_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1545066237449646,-0.14532820880413055,0,2560x64
singular_values,bases/block_06_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,18.683202743530273,3.9642693996429443,0,64
right,bases/block_06_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.22493326663970947,-0.24413543939590454,0,2560x64
left,bases/block_06_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11953667551279068,-0.11978552490472794,0,2560x64
singular_values,bases/block_06_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.41423225402832,4.045609474182129,0,64
right,bases/block_06_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.18525336682796478,-0.1431792974472046,0,2560x64
left,bases/block_06_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.1720975935459137,-0.17563672363758087,0,6912x64
singular_values,bases/block_06_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,4.9892377853393555,3.0410451889038086,0,64
right,bases/block_06_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.16431353986263275,-0.1477670818567276,0,2560x64
left,bases/block_07_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.40627753734588623,-0.3434082567691803,0,2560x64
singular_values,bases/block_07_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,5.731637477874756,3.2977583408355713,0,64
right,bases/block_07_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.22453787922859192,-0.22141806781291962,0,6912x64
left,bases/block_07_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.216537207365036,-0.21727102994918823,0,6912x64
singular_values,bases/block_07_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,72.46531677246094,4.061233043670654,0,64
right,bases/block_07_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.6874299049377441,-0.20065049827098846,0,2560x64
left,bases/block_07_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.12883955240249634,-0.12299103289842606,0,2560x64
singular_values,bases/block_07_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,13.041071891784668,4.3166913986206055,0,64
right,bases/block_07_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1534673124551773,-0.1790027767419815,0,2560x64
left,bases/block_07_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11791647225618362,-0.17345106601715088,0,2560x64
singular_values,bases/block_07_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.658102035522461,5.4732866287231445,0,64
right,bases/block_07_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1509256362915039,-0.15243154764175415,0,2560x64
left,bases/block_07_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11649203300476074,-0.1398973912000656,0,2560x64
singular_values,bases/block_07_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,17.060693740844727,4.027919292449951,0,64
right,bases/block_07_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1649612933397293,-0.2912310063838959,0,2560x64
left,bases/block_07_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11994662880897522,-0.11588063091039658,0,2560x64
singular_values,bases/block_07_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,8.098308563232422,3.940952777862549,0,64
right,bases/block_07_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13740621507167816,-0.14731355011463165,0,2560x64
left,bases/block_07_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.21277005970478058,-0.22563503682613373,0,6912x64
singular_values,bases/block_07_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,6.388113498687744,3.338151693344116,0,64
right,bases/block_07_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11383592337369919,-0.11703857779502869,0,2560x64
left,bases/block_08_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.23165076971054077,-0.38515713810920715,0,2560x64
singular_values,bases/block_08_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,6.7260212898254395,3.643113613128662,0,64
right,bases/block_08_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.2080923318862915,-0.1844746172428131,0,6912x64
left,bases/block_08_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.2384343147277832,-0.20940102636814117,0,6912x64
singular_values,bases/block_08_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,69.07523345947266,3.3083131313323975,0,64
right,bases/block_08_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.9681650400161743,-0.1819469928741455,0,2560x64
left,bases/block_08_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.10680770128965378,-0.10824494063854218,0,2560x64
singular_values,bases/block_08_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,18.86539649963379,5.175709247589111,0,64
right,bases/block_08_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1318950355052948,-0.11259034276008606,0,2560x64
left,bases/block_08_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.13193246722221375,-0.12722624838352203,0,2560x64
singular_values,bases/block_08_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,12.139768600463867,5.422573566436768,0,64
right,bases/block_08_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.15198063850402832,-0.1520243138074875,0,2560x64
left,bases/block_08_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.11588974297046661,-0.11491493880748749,0,2560x64
singular_values,bases/block_08_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,19.608917236328125,4.778646469116211,0,64
right,bases/block_08_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.17026656866073608,-0.18173673748970032,0,2560x64
left,bases/block_08_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.1137191653251648,-0.11406783759593964,0,2560x64
singular_values,bases/block_08_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.656365394592285,4.498959064483643,0,64
